ram_gb,weight_kg,inches,Price_in_euros
8.0,1.3,13.3,1034.0
8.0,2.0,15.6,1142.75
4.0,2.06,15.6,481.98
2.0,2.19,15.6,199.0
2.0,1.44,14.0,279.0
6.0,2.04,15.6,579.0
4.0,2.2,15.6,499.0
8.0,1.36,14.0,1775.0
4.0,2.04,15.6,839.0
8.0,2.5,15.6,879.0
8.0,3.0,17.3,1039.0
8.0,1.48,13.3,2041.0
8.0,2.5,15.6,999.0
4.0,2.1,15.6,349.0
16.0,1.2,13.3,2254.0
8.0,2.8,17.3,1099.0
8.0,2.6,15.6,899.0
8.0,1.24,13.3,1899.0
8.0,2.4,15.6,1149.0
12.0,2.2,15.6,949.0
8.0,2.5,15.6,1265.0
8.0,1.91,15.6,579.0
8.0,1.37,13.3,1803.6
2.0,1.45,14.0,210.8
8.0,2.23,15.6,1993.0
4.0,1.2,11.6,340.0
16.0,3.42,17.3,2884.86
8.0,2.23,15.6,469.0
4.0,1.65,14.0,277.99
4.0,2.2,15.6,209.0
4.0,2.4,15.6,441.8
4.0,1.9,15.6,450.0
8.0,1.58,14.0,1480.0
4.0,2.1,15.6,367.0
4.0,1.8,14.0,636.0
4.0,1.63,14.0,299.0
4.0,2.3,15.6,499.0
8.0,2.67,15.6,799.0
4.0,2.1,15.6,400.0
4.0,1.54,14.0,1030.99
8.0,1.86,15.6,639.0
8.0,2.8,17.3,539.0
4.0,2.1,15.6,390.0
8.0,2.18,15.6,750.0
16.0,1.29,13.3,2449.0
4.0,2.1,15.6,298.0
16.0,1.25,13.5,2589.0
32.0,4.6,17.3,2663.0
4.0,2.2,15.6,468.0
8.0,2.2,15.6,1119.0
16.0,1.36,14.0,2499.0
4.0,2.2,15.6,579.0
4.0,2.1,15.6,330.0
4.0,1.43,14.0,274.0
8.0,2.69,17.3,889.0
16.0,1.47,14.0,1764.0
8.0,2.5,15.6,1169.0
4.0,2.2,15.6,369.0
32.0,2.06,15.6,2639.0
16.0,1.3,13.3,1799.0
8.0,1.48,14.0,1749.0
16.0,4.36,17.3,2505.02
2.0,1.17,11.6,209.0
4.0,1.63,14.0,699.0
8.0,2.23,15.6,1369.0
4.0,2.2,15.6,485.0
8.0,1.05,13.0,1499.0
8.0,2.3,15.6,590.0
8.0,2.04,15.6,389.0
8.0,1.83,15.6,699.0
8.0,3.52,17.3,1312.49
6.0,2.2,15.6,789.0
8.0,1.64,14.0,1010.51
8.0,2.591,15.6,909.0
12.0,1.4,14.0,2299.0
8.0,2.3,15.6,573.0
4.0,2.0,15.6,389.0
8.0,1.6,14.0,1099.0
4.0,2.1,15.6,540.0
4.0,1.86,15.6,439.0
12.0,3.0,17.3,949.0
16.0,1.4,13.9,2099.0
4.0,1.23,11.6,385.0
4.0,2.2,15.6,369.0
16.0,2.8,15.6,2099.0
4.0,1.2,13.3,369.0
4.0,2.18,15.6,614.0
4.0,1.8,15.6,829.0
16.0,4.3,17.3,2350.0
8.0,1.09,12.5,3100.0
8.0,2.0,15.6,1820.0
4.0,2.2,15.6,419.0
4.0,2.24,15.6,769.15
16.0,3.78,17.3,2399.0
6.0,2.1,15.6,479.0
4.0,2.2,15.6,499.0
8.0,1.6,14.0,1149.0
8.0,2.16,15.6,1130.33
8.0,2.2,15.6,1089.0
6.0,2.8,17.3,949.0
4.0,2.3,15.6,585.0
8.0,1.84,15.6,1296.99
16.0,2.3,15.6,1799.0
8.0,1.25,14.0,1049.0
8.0,2.4,15.6,779.0
16.0,4.2,17.3,1935.0
4.0,2.4,15.6,380.0
8.0,1.44,13.3,960.0
8.0,2.5,15.6,1249.0
4.0,2.0,15.6,435.0
4.0,1.3,14.0,260.0
8.0,2.0,15.6,943.0
12.0,3.74,17.3,1749.0
8.0,2.3,15.6,469.01
8.0,2.2,15.6,841.0
4.0,2.18,15.6,912.5
4.0,2.2,15.6,613.0
8.0,1.64,14.0,1089.0
8.0,1.84,15.6,1144.0
64.0,3.58,17.3,3975.0
2.0,1.65,14.0,199.0
4.0,1.93,15.6,869.0
4.0,1.6,14.0,349.0
4.0,2.37,15.6,849.9
16.0,2.99,17.3,1749.0
16.0,2.65,15.6,1845.0
8.0,1.4,11.6,495.0
4.0,1.85,15.6,449.0
8.0,2.2,15.6,459.0
8.0,2.5,15.6,784.0
4.0,1.5,14.0,278.0
4.0,2.2,15.6,306.0
4.0,2.8,17.3,470.34
8.0,2.0,15.6,1388.0
4.0,1.9,15.6,498.0
4.0,2.18,15.6,617.9
4.0,2.07,15.6,910.0
4.0,1.75,14.0,1020.0
8.0,3.35,17.3,1129.0
4.0,1.28,13.3,1799.0
8.0,1.32,14.0,1650.0
4.0,1.64,14.0,973.0
16.0,2.2,15.6,1749.0
8.0,1.75,14.0,1116.02
4.0,2.8,17.3,530.0
8.0,1.87,14.0,859.0
4.0,2.18,15.6,586.6
4.0,2.1,15.6,318.0
8.0,3.31,15.6,1196.0
8.0,1.96,15.6,598.99
8.0,1.26,12.5,1669.0
4.0,2.2,15.6,720.32
8.0,0.97,12.5,2014.0
8.0,2.5,15.6,1017.0
16.0,1.3,13.3,2049.0
8.0,1.75,14.0,1049.0
8.0,1.54,14.0,1468.0
8.0,2.37,15.6,1099.0
6.0,2.4,15.6,499.0
8.0,2.7,17.3,1095.0
4.0,2.2,15.6,349.0
16.0,2.34,15.6,2325.0
8.0,2.5,15.6,999.0
4.0,2.2,15.6,720.32
8.0,1.68,13.3,889.0
4.0,2.23,15.6,619.0
8.0,2.62,15.6,985.0
8.0,2.3,15.6,911.0
6.0,2.04,15.6,549.99
16.0,2.04,15.4,2139.97
4.0,2.4,15.6,361.8
8.0,2.5,17.3,977.0
4.0,2.0,15.6,304.0
8.0,2.09,15.6,1046.44
8.0,1.1,12.3,1559.0
4.0,2.2,15.6,369.0
16.0,2.94,15.6,2267.86
16.0,2.7,17.3,1598.0
16.0,1.62,13.3,1279.0
8.0,1.48,14.0,1268.0
4.0,2.31,15.6,940.0
16.0,1.42,14.0,2509.0
8.0,2.0,15.6,860.0
4.0,1.5,14.0,325.0
4.0,2.8,17.3,466.0
8.0,2.3,15.6,1349.0
8.0,2.18,15.6,789.81
4.0,2.1,15.6,498.0
8.0,1.8,14.0,1191.0
8.0,2.2,15.6,669.0
8.0,3.0,15.6,951.0
4.0,1.68,15.6,469.0
8.0,1.3,14.0,1193.0
4.0,2.1,15.6,493.0
4.0,2.23,15.6,616.0
8.0,2.4,15.6,809.0
8.0,1.6,12.5,1690.0
4.0,2.04,15.6,521.47
16.0,4.3,17.3,2150.0
4.0,2.1,15.6,398.0
12.0,1.4,14.0,1858.0
4.0,1.3,14.0,509.0
8.0,1.54,14.0,1870.0
8.0,2.6,17.3,1599.0
8.0,1.25,12.5,1029.0
16.0,2.5,15.6,1699.0
8.0,1.6,14.0,1119.0
16.0,3.2,15.6,1499.0
6.0,2.3,15.6,459.0
8.0,2.5,15.6,839.0
4.0,2.2,15.6,321.99
4.0,2.3,15.6,418.64
2.0,1.5,14.0,229.0
8.0,2.2,15.6,1191.8
2.0,1.1,11.6,245.0
16.0,3.21,15.6,1329.0
8.0,2.2,15.6,1043.0
8.0,1.26,12.5,1335.0
2.0,1.4,14.0,239.0
8.0,1.6,14.0,1126.71
8.0,2.0,14.0,1334.0
8.0,1.36,14.0,1637.0
8.0,1.35,13.3,998.0
16.0,4.14,17.3,2199.0
16.0,2.17,15.6,2338.0
4.0,1.86,15.6,399.0
8.0,1.252,13.5,1867.85
4.0,2.4,15.6,289.0
4.0,1.8,15.6,847.0
16.0,1.29,12.5,1799.0
4.0,1.48,14.0,1099.99
8.0,1.1,14.0,1135.0
16.0,2.62,15.6,1479.0
12.0,3.78,17.3,1699.0
32.0,4.4,18.4,2799.0
8.0,2.08,15.6,819.0
4.0,2.4,12.5,1599.0
4.0,2.0,17.3,564.0
4.0,2.2,15.6,535.0
4.0,1.86,15.6,259.0
8.0,1.29,13.3,1458.0
8.0,1.87,14.0,857.07
8.0,1.9,15.6,1269.0
16.0,1.95,14.0,3499.0
8.0,1.2,13.3,1363.0
8.0,1.34,13.3,1158.7
8.0,2.2,15.6,997.9
16.0,1.13,14.0,2625.0
8.0,2.2,15.6,1199.0
4.0,1.9,15.6,252.36
8.0,1.36,14.0,1639.0
8.0,1.29,13.3,1499.0
8.0,2.7,15.6,1260.0
8.0,2.36,15.6,749.0
8.0,3.0,17.3,3949.4
4.0,2.2,15.6,369.0
16.0,2.62,15.6,1679.0
4.0,1.86,15.6,345.99
4.0,1.7,14.0,1002.0
4.0,2.0,15.6,586.19
4.0,2.1,15.6,272.0
4.0,1.25,11.6,265.0
8.0,2.67,15.6,2090.0
8.0,1.56,14.0,902.0
12.0,2.26,15.6,1099.0
8.0,2.6,15.6,899.0
8.0,2.3,15.6,1655.0
8.0,2.3,15.6,850.66
8.0,1.75,14.0,1215.38
16.0,1.93,15.6,1537.39
8.0,2.02,15.6,855.0
16.0,1.4,13.3,1499.0
16.0,1.83,15.4,2537.45
8.0,1.26,12.5,1349.0
32.0,4.7,17.3,3890.0
16.0,2.2,15.6,2449.0
8.0,1.17,15.0,1699.0
4.0,1.25,11.6,379.0
8.0,1.4,13.3,949.0
8.0,1.62,13.3,649.0
16.0,1.28,13.3,1975.0
8.0,1.36,12.5,1429.0
4.0,1.26,12.5,1244.0
16.0,3.0,17.3,1504.0
8.0,1.37,13.9,1849.0
6.0,2.04,15.6,539.0
8.0,2.0,15.6,2249.0
8.0,3.35,17.3,1191.0
8.0,2.14,15.6,735.07
8.0,2.69,17.3,891.0
4.0,1.49,13.3,800.0
8.0,1.7,14.0,1364.0
8.0,1.36,14.0,1680.0
8.0,1.98,15.6,726.0
8.0,1.7,14.0,599.0
4.0,1.44,14.0,292.0
16.0,2.1,15.6,1159.0
8.0,1.36,12.5,1472.2
4.0,1.5,14.0,286.0
2.0,1.3,11.6,174.0
8.0,1.13,14.0,2499.0
16.0,2.5,15.6,1179.0
8.0,2.2,15.6,812.0
4.0,2.65,15.6,309.0
8.0,1.86,15.6,690.0
2.0,2.2,15.6,379.0
4.0,1.8,14.0,638.0
8.0,2.37,15.6,749.0
8.0,2.36,15.6,889.0
4.0,2.0,15.6,224.0
8.0,2.9,17.3,1511.19
6.0,1.95,15.6,649.0
8.0,1.32,14.0,1859.0
16.0,2.9,17.3,1949.0
8.0,1.91,15.6,445.9
16.0,2.2,15.6,1299.0
8.0,1.1,14.0,1873.0
16.0,1.1,14.0,1900.0
8.0,3.3,17.3,629.0
8.0,1.63,14.0,1031.0
16.0,4.14,17.3,2499.0
8.0,1.6,13.3,999.0
8.0,2.7,17.3,1349.0
16.0,2.06,15.6,2397.0
8.0,4.42,17.3,2046.0
4.0,0.69,10.1,319.0
8.0,1.3,13.3,1199.0
4.0,1.29,13.3,615.0
2.0,1.5,14.0,229.0
8.0,2.1,15.6,879.0
32.0,1.05,13.3,2799.0
4.0,1.85,15.6,403.5
4.0,2.1,14.0,299.0
8.0,2.24,15.6,565.0
12.0,2.4,15.6,1009.0
8.0,1.91,15.6,979.0
6.0,2.19,15.6,764.0
8.0,1.99,15.6,906.62
4.0,2.31,15.6,1199.0
8.0,3.0,17.3,659.0
16.0,2.1,15.6,1899.0
8.0,2.32,15.6,895.0
8.0,1.24,13.3,2013.1
4.0,2.2,15.6,449.0
8.0,2.2,15.6,629.0
8.0,2.2,15.6,1099.0
8.0,2.04,15.6,1018.99
4.0,2.2,15.6,399.0
4.0,1.86,15.6,612.61
4.0,2.2,15.6,575.0
8.0,1.38,13.3,1119.0
8.0,1.95,14.0,1180.0
8.0,2.75,17.3,1399.0
4.0,2.08,15.6,795.99
32.0,4.42,17.3,3147.37
4.0,1.45,13.3,459.9
16.0,2.9,17.3,2122.0
8.0,1.9,15.6,813.0
8.0,2.2,15.6,1027.74
4.0,2.02,14.0,990.0
8.0,1.6,14.0,884.0
8.0,0.99,12.5,1399.0
8.0,2.2,15.6,659.01
2.0,1.17,11.6,209.0
16.0,4.2,17.3,2599.0
8.0,2.33,15.6,778.87
16.0,2.9,17.3,1407.0
16.0,3.0,17.3,1591.0
4.0,3.0,17.3,805.0
4.0,2.2,15.6,545.67
4.0,2.05,15.6,685.0
8.0,1.7,15.6,977.0
4.0,2.4,15.6,609.0
8.0,2.8,17.3,1085.0
16.0,2.2,15.6,1219.24
16.0,4.6,17.3,2289.99
4.0,1.68,14.0,349.0
16.0,1.3,13.3,1499.0
8.0,1.4,13.9,1599.0
8.0,1.74,14.0,899.0
4.0,1.65,13.3,689.0
4.0,1.63,14.0,722.0
8.0,2.5,17.3,639.9
16.0,2.4,15.6,1799.0
8.0,2.8,17.3,519.0
8.0,1.98,15.6,895.01
4.0,1.26,12.5,1539.0
8.0,2.2,15.6,839.0
8.0,2.5,17.3,923.0
4.0,1.9,15.6,549.0
8.0,2.3,15.6,805.99
16.0,2.5,15.6,1600.0
4.0,1.95,14.0,1265.0
8.0,1.09,15.6,2299.0
4.0,1.44,13.3,881.0
8.0,2.23,15.6,742.0
12.0,2.62,17.3,1799.0
8.0,1.48,14.0,2089.0
16.0,1.05,13.3,2226.0
6.0,2.71,17.3,699.0
4.0,2.09,15.6,523.63
8.0,2.2,15.6,870.0
8.0,2.6,15.6,1738.27
8.0,2.2,15.6,739.0
16.0,1.21,13.3,2499.0
8.0,2.0,15.6,2135.0
8.0,1.35,13.3,1099.0
4.0,1.4,11.6,615.0
4.0,1.39,11.6,603.0
6.0,2.1,15.6,529.0
8.0,1.252,13.5,1340.0
8.0,2.0,15.6,1224.0
16.0,1.8,15.6,2094.48
4.0,1.2,13.3,1195.0
8.0,1.29,13.3,899.0
4.0,2.2,15.6,776.0
8.0,3.2,17.3,1299.0
4.0,2.4,15.6,384.0
8.0,2.0,15.6,739.0
8.0,1.21,13.3,1599.0
16.0,2.5,15.6,1299.0
4.0,2.2,15.6,498.9
8.0,2.0,15.6,1299.0
8.0,2.63,17.3,1200.0
4.0,2.1,15.6,398.0
8.0,3.4,17.3,2999.0
4.0,2.2,15.6,639.0
8.0,2.0,15.6,665.0
4.0,2.2,15.6,399.0
4.0,1.91,15.6,478.89
8.0,1.49,13.3,959.0
4.0,2.1,15.6,621.45
4.0,1.86,15.6,344.99
2.0,1.42,14.0,249.0
8.0,2.2,15.6,579.0
8.0,2.2,15.6,749.01
16.0,2.9,17.3,2419.0
6.0,2.3,15.6,459.0
16.0,2.5,17.3,1271.0
8.0,2.5,17.3,1045.0
4.0,3.3,17.3,598.0
4.0,1.4,11.6,485.0
8.0,2.5,15.6,1109.0
16.0,1.36,13.3,1877.0
4.0,2.18,15.6,443.9
8.0,2.0,15.6,1699.0
4.0,2.04,15.6,769.99
16.0,1.83,15.4,2439.97
6.0,1.91,15.6,568.9
8.0,3.2,17.3,1695.0
8.0,1.37,13.3,1399.0
4.0,2.0,15.6,449.0
8.0,2.2,15.6,647.0
16.0,4.3,17.3,2299.0
16.0,2.8,17.3,2249.0
4.0,2.8,17.3,529.0
8.0,2.08,15.6,959.0
16.0,2.5,15.6,2449.0
8.0,2.4,15.6,779.0
16.0,1.42,13.3,1399.0
8.0,2.4,15.6,846.0
4.0,2.4,15.6,410.8
4.0,1.5,12.5,1166.97
8.0,1.1,13.3,1358.0
16.0,3.0,17.3,4389.0
4.0,1.86,15.6,488.69
8.0,1.56,15.6,1049.0
4.0,1.54,14.0,1099.99
8.0,1.9,15.6,1179.0
8.0,2.5,17.3,896.0
8.0,1.37,13.3,1518.55
4.0,2.3,15.6,565.0
2.0,1.68,14.0,330.0
8.0,2.3,15.6,830.0
8.0,2.8,17.3,589.0
8.0,1.2,13.3,1590.0
8.0,1.5,12.5,1413.1
8.0,2.3,15.6,1649.0
8.0,1.2,13.3,729.0
8.0,1.25,14.0,1099.0
4.0,1.7,14.0,699.0
8.0,1.5,14.0,619.0
4.0,2.4,15.6,499.0
8.0,1.6,13.3,689.0
8.0,1.41,13.3,949.0
8.0,1.63,14.0,988.0
8.0,2.4,15.6,799.0
32.0,4.42,17.3,3149.0
8.0,1.5,14.0,1962.98
8.0,2.0,15.6,1064.0
16.0,1.1,14.0,2099.0
8.0,1.05,13.3,1672.0
8.0,2.3,15.6,597.0
8.0,1.13,14.0,2282.0
8.0,1.25,13.5,1799.0
16.0,1.95,14.0,2599.0
4.0,2.3,15.6,598.9
4.0,1.25,11.6,297.0
12.0,2.2,15.6,899.0
8.0,2.2,15.6,685.0
8.0,2.2,15.6,739.0
16.0,2.65,15.6,1499.0
16.0,2.77,17.3,1799.0
4.0,1.5,14.0,298.0
8.0,1.37,13.3,2025.0
8.0,1.29,13.3,1999.0
16.0,1.42,14.0,2824.0
16.0,2.02,15.6,1049.0
4.0,2.4,15.6,387.0
4.0,1.75,14.0,499.0
16.0,2.4,15.6,1403.0
8.0,1.6,14.0,859.0
16.0,1.3,14.0,1495.0
6.0,2.8,17.3,649.0
8.0,1.13,14.0,2049.0
4.0,1.91,15.6,499.0
4.0,2.1,15.6,447.0
4.0,1.65,13.3,849.0
8.0,2.18,15.6,713.99
4.0,1.9,15.6,825.0
8.0,3.0,17.3,1168.0
8.0,2.3,15.6,522.99
8.0,1.49,13.3,960.0
8.0,2.2,15.6,499.0
8.0,2.2,15.6,799.0
4.0,1.76,14.0,585.0
6.0,1.54,15.6,831.0
8.0,2.0,14.0,1094.0
8.0,2.63,17.3,1080.0
8.0,1.55,13.3,659.0
4.0,2.2,15.6,469.0
8.0,2.04,15.6,1070.0
8.0,2.31,15.6,1534.0
12.0,2.62,15.6,1249.0
4.0,1.4,14.0,265.0
8.0,1.25,14.0,1535.0
8.0,1.93,15.6,1369.0
4.0,1.49,13.3,675.0
8.0,2.0,15.6,399.0
4.0,1.86,15.6,398.49
8.0,1.95,15.6,1097.0
8.0,2.7,17.3,1486.77
4.0,2.2,15.6,720.32
8.0,1.2,13.3,1460.0
4.0,1.15,11.6,269.0
4.0,2.18,15.6,739.0
16.0,0.91,12.5,1950.0
4.0,2.5,17.3,699.0
4.0,2.25,15.6,359.0
32.0,4.42,17.3,3588.8
8.0,2.59,15.6,2229.0
12.0,2.15,15.6,659.0
8.0,1.95,15.6,1390.0
8.0,1.1,12.5,1790.0
8.0,2.54,17.3,489.0
16.0,1.18,12.5,1859.0
8.0,2.0,15.6,793.0
16.0,1.22,13.3,1649.0
4.0,2.4,15.6,559.0
4.0,2.2,15.6,274.9
12.0,3.35,17.3,1999.0
16.0,1.1,13.3,1748.9
8.0,2.04,15.6,846.5
4.0,1.9,15.6,368.0
4.0,1.76,14.0,755.0
4.0,3.0,17.3,702.0
4.0,2.1,15.6,780.0
2.0,1.15,11.6,304.45
8.0,1.96,15.6,679.0
4.0,1.5,11.6,375.0
8.0,2.59,15.6,1561.0
4.0,2.04,15.6,742.0
8.0,1.36,14.0,1427.0
8.0,2.0,15.6,1299.0
4.0,2.2,15.6,682.0
4.0,1.4,11.6,269.0
8.0,1.22,13.3,979.0
8.0,2.2,15.6,745.0
8.0,1.91,15.6,618.99
16.0,2.4,15.6,1199.0
4.0,1.4,11.6,435.0
16.0,2.59,15.6,1339.0
16.0,2.73,17.3,2049.9
8.0,1.32,14.0,1799.0
8.0,1.26,12.5,1713.37
16.0,2.8,17.3,1396.0
8.0,1.34,13.3,1189.0
6.0,2.8,17.3,859.0
12.0,2.77,17.3,999.0
8.0,1.49,13.3,1090.0
4.0,2.2,15.6,572.0
4.0,2.19,15.6,298.0
24.0,4.33,17.3,1269.0
8.0,2.0,15.6,581.9
4.0,1.88,15.6,932.0
16.0,2.8,17.3,1299.0
4.0,2.1,15.6,395.0
8.0,1.95,15.6,1199.0
4.0,2.1,15.6,426.0
8.0,1.2,13.3,1449.9
8.0,2.62,15.6,899.0
8.0,2.4,15.6,1199.0
8.0,2.2,15.6,800.0
8.0,1.48,13.3,1629.0
8.0,2.2,15.6,519.0
4.0,1.86,15.6,258.0
16.0,4.42,17.3,2456.34
